project_fr,bruteforce_category,bruteforce_confs,ga_category,ga_confs
esper_examples.rfidassetzone-0.8,4-0.8-fast,"{'01noThrottling.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",2-0.8-fast,{'01noThrottling.sh': 2}
fastjson_dot-0.8,6-0.8-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",12-0.8-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}"
fluent-logger-java_dot-0.8,6-0.8-fast,"{'21CPU025Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",6-0.8-fast,{'29CPU4Mem8GB.sh': 6}
handlebars.java_dot-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},8-0.8-fast,{'29CPU4Mem8GB.sh': 8}
hbase_dot-0.8,8-0.8-fast,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 6, '01noThrottling.sh': 1}",12-0.8-fast,{'20CPU010Mem2GB.sh': 12}
http-request_dot-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},12-0.8-fast,{'29CPU4Mem8GB.sh': 12}
httpcore_dot-0.8,6-0.8-fast,{'01noThrottling.sh': 6},12-0.8-fast,{'01noThrottling.sh': 12}
hutool_hutool-cron-0.8,4-0.8-fast,"{'29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 2}",4-0.8-fast,{'01noThrottling.sh': 4}
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty-0.8,6-0.8-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",12-0.8-fast,{'29CPU4Mem8GB.sh': 12}
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo-0.8,6-0.8-fast,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 3, '26CPU2Mem4GB.sh': 2}",12-0.8-fast,{'01noThrottling.sh': 12}
logback_dot-0.8,4-0.8-fast,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",4-0.8-fast,"{'28CPU2Mem16GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}"
luwak_luwak-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},12-0.8-fast,{'29CPU4Mem8GB.sh': 12}
ninja_dot-0.8,6-0.8-fast,{'01noThrottling.sh': 6},12-0.8-fast,{'01noThrottling.sh': 12}
noxy_noxy-discovery-zookeeper-0.8,2-0.8-fast,"{'01noThrottling.sh': 1, '22CPU05Mem2GB.sh': 1}",2-0.8-fast,{'01noThrottling.sh': 2}
okhttp_dot-0.8,6-0.8-fast,{'01noThrottling.sh': 6},12-0.8-fast,{'01noThrottling.sh': 12}
orbit_dot-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},12-0.8-fast,{'29CPU4Mem8GB.sh': 12}
retrofit_retrofit-adapters.rxjava-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},6-0.8-fast,{'29CPU4Mem8GB.sh': 6}
retrofit_retrofit-0.8,6-0.8-fast,{'01noThrottling.sh': 6},12-0.8-fast,{'01noThrottling.sh': 12}
rxjava2-extras_dot-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},12-0.8-fast,{'29CPU4Mem8GB.sh': 12}
spring-boot_dot-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},12-0.8-fast,{'29CPU4Mem8GB.sh': 12}
timely_server-0.8,6-0.8-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",12-0.8-fast,{'01noThrottling.sh': 12}
wro4j_wro4j-extensions-0.8,6-0.8-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 5}",12-0.8-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}"
yawp_yawp-testing.yawp-testing-appengine-0.8,1-0.8-fast,{'29CPU4Mem8GB.sh': 1},1-0.8-fast,{'29CPU4Mem8GB.sh': 1}
zxing_dot-0.8,6-0.8-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",12-0.8-fast,"{'29CPU4Mem8GB.sh': 7, '01noThrottling.sh': 5}"
activiti_dot-0,6-0-fast,{'01noThrottling.sh': 6},12-0-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}"
assertj-core_dot-0,6-0-fast,{'29CPU4Mem8GB.sh': 6},12-0-fast,{'29CPU4Mem8GB.sh': 12}
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension-0,2-0-fast,"{'29CPU4Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",2-0-fast,{'29CPU4Mem8GB.sh': 2}
commons-exec_dot-0,6-0-fast,{'01noThrottling.sh': 6},12-0-fast,{'01noThrottling.sh': 12}
db-scheduler_dot-0,6-0-fast,"{'29CPU4Mem8GB.sh': 5, '26CPU2Mem4GB.sh': 1}",6-0-fast,{'29CPU4Mem8GB.sh': 6}
delight-nashorn-sandbox_dot-0,6-0-fast,{'29CPU4Mem8GB.sh': 6},12-0-fast,{'29CPU4Mem8GB.sh': 12}
elastic-job-lite_dot-0,6-0-fast,{'01noThrottling.sh': 6},12-0-fast,{'01noThrottling.sh': 12}
elastic-job-lite_elastic-job-lite-core-0,6-0-fast,{'01noThrottling.sh': 6},12-0-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}"
esper_examples.rfidassetzone-0,2-0-fast,{'01noThrottling.sh': 2},2-0-fast,{'01noThrottling.sh': 2}
fastjson_dot-0,6-0-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",12-0-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}"
fluent-logger-java_dot-0,6-0-fast,"{'21CPU025Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",6-0-fast,{'29CPU4Mem8GB.sh': 6}
handlebars.java_dot-0,6-0-fast,{'29CPU4Mem8GB.sh': 6},8-0-fast,{'29CPU4Mem8GB.sh': 8}
hbase_dot-0,8-0-fast,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 7}",12-0-fast,{'20CPU010Mem2GB.sh': 12}
http-request_dot-0,6-0-fast,{'29CPU4Mem8GB.sh': 6},12-0-fast,{'29CPU4Mem8GB.sh': 12}
httpcore_dot-0,6-0-fast,{'01noThrottling.sh': 6},12-0-fast,{'01noThrottling.sh': 12}
hutool_hutool-cron-0,4-0-fast,"{'29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 2}",4-0-fast,{'01noThrottling.sh': 4}
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty-0,6-0-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",12-0-fast,{'29CPU4Mem8GB.sh': 12}
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo-0,6-0-fast,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 3, '26CPU2Mem4GB.sh': 2}",12-0-fast,{'01noThrottling.sh': 12}
logback_dot-0,6-0-fast,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 3, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",6-0-fast,"{'27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 4}"
luwak_luwak-0,6-0-fast,"{'29CPU4Mem8GB.sh': 5, '25CPU1Mem8GB.sh': 1}",12-0-fast,{'29CPU4Mem8GB.sh': 12}
ninja_dot-0,6-0-fast,{'01noThrottling.sh': 6},12-0-fast,{'01noThrottling.sh': 12}
noxy_noxy-discovery-zookeeper-0,2-0-fast,"{'01noThrottling.sh': 1, '22CPU05Mem2GB.sh': 1}",2-0-fast,{'01noThrottling.sh': 2}
okhttp_dot-0,6-0-fast,{'01noThrottling.sh': 6},12-0-fast,{'01noThrottling.sh': 12}
orbit_dot-0,6-0-fast,{'29CPU4Mem8GB.sh': 6},12-0-fast,{'29CPU4Mem8GB.sh': 12}
retrofit_retrofit-adapters.rxjava-0,6-0-fast,{'29CPU4Mem8GB.sh': 6},6-0-fast,{'29CPU4Mem8GB.sh': 6}
retrofit_retrofit-0,6-0-fast,{'01noThrottling.sh': 6},12-0-fast,{'01noThrottling.sh': 12}
